1,http://www.last.fm/music/MALICE+MIZER,MALICE MIZER
2,http://www.last.fm/music/Diary+of+Dreams,Diary of Dreams
3,http://www.last.fm/music/Carpathian+Forest,Carpathian Forest
4,http://www.last.fm/music/Moi+dix+Mois,Moi dix Mois
5,http://www.last.fm/music/Bella+Morte,Bella Morte
6,http://www.last.fm/music/Moonspell,Moonspell
7,http://www.last.fm/music/Marilyn+Manson,Marilyn Manson
8,http://www.last.fm/music/DIR+EN+GREY,DIR EN GREY
9,http://www.last.fm/music/Combichrist,Combichrist
10,http://www.last.fm/music/Grendel,Grendel
11,http://www.last.fm/music/Agonoize,Agonoize
12,http://www.last.fm/music/Behemoth,Behemoth
13,http://www.last.fm/music/Hocico,Hocico
15,http://www.last.fm/music/Dimmu+Borgir,Dimmu Borgir
16,http://www.last.fm/music/London+After+Midnight,London After Midnight
17,http://www.last.fm/music/Psyclon+Nine,Psyclon Nine
18,http://www.last.fm/music/The+Cr%C3%BCxshadows,The Crüxshadows
19,http://www.last.fm/music/%3Awumpscut%3A,:wumpscut:
20,http://www.last.fm/music/Limbonic+Art,Limbonic Art
21,http://www.last.fm/music/Artista+sconosciuto,Artista sconosciuto
22,http://www.last.fm/music/xotox,xotox
23,http://www.last.fm/music/The+Kovenant,The Kovenant
24,http://www.last.fm/music/Feindflug,Feindflug
25,http://www.last.fm/music/Cradle+of+Filth,Cradle of Filth
26,http://www.last.fm/music/Tamtrum,Tamtrum
27,http://www.last.fm/music/Laibach,Laibach
28,http://www.last.fm/music/Gorgoroth,Gorgoroth
30,http://www.last.fm/music/And+One,And One
31,http://www.last.fm/music/Amduscia,Amduscia
32,http://www.last.fm/music/Covenant,Covenant
34,http://www.last.fm/music/Icon+of+Coil,Icon of Coil
36,http://www.last.fm/music/KMFDM,KMFDM
37,http://www.last.fm/music/Funker+Vogt,Funker Vogt
38,http://www.last.fm/music/Dawn+of+Ashes,Dawn of Ashes
